GO Term,Number of Entries,Name
GO:0036289,13, peptidyl-serine autophosphorylation
GO:1904738,13, vascular associated smooth muscle cell migration
GO:0002758,13, innate immune response-activating signaling pathway
GO:0051124,13, synaptic assembly at neuromuscular junction
GO:0018394,13, peptidyl-lysine acetylation
GO:0010836,13, negative regulation of protein ADP-ribosylation
GO:0034654,13, nucleobase-containing compound biosynthetic process
GO:0048050,13, post-embryonic eye morphogenesis
GO:0002730,13, regulation of dendritic cell cytokine production
GO:1904219,13, positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity
GO:0071264,13, positive regulation of translational initiation in response to starvation
GO:0051386,13, regulation of neurotrophin TRK receptor signaling pathway
GO:0070987,13, error-free translesion synthesis
GO:0099553,13," trans-synaptic signaling by endocannabinoid, modulating synaptic transmission"
GO:2000637,13, positive regulation of miRNA-mediated gene silencing
GO:0060073,13, micturition
GO:0006102,13, isocitrate metabolic process
GO:1904506,13, negative regulation of telomere maintenance in response to DNA damage
GO:0035811,13, negative regulation of urine volume
GO:1903523,13, negative regulation of blood circulation
GO:1905090,13, negative regulation of type 2 mitophagy
GO:0002204,13, somatic recombination of immunoglobulin genes involved in immune response
GO:0002504,13, antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0045686,13, negative regulation of glial cell differentiation
GO:0006448,13, regulation of translational elongation
GO:0007610,13, behavior
GO:0015798,13, myo-inositol transport
GO:0015791,13, polyol transmembrane transport
GO:0044771,13, meiotic cell cycle phase transition
GO:0006977,13," DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"
GO:0003117,13, regulation of vasoconstriction by circulating norepinephrine
GO:0043470,13, regulation of carbohydrate catabolic process
GO:0003195,13, tricuspid valve formation
GO:0034088,13, maintenance of mitotic sister chromatid cohesion
GO:0061485,13, memory T cell proliferation
GO:1902170,13, cellular response to reactive nitrogen species
GO:0022600,13, digestive system process
GO:0106300,13, protein-DNA covalent cross-linking repair
GO:0044571,13, [2Fe-2S] cluster assembly
GO:0050973,13, detection of mechanical stimulus involved in equilibrioception
GO:0031017,13, exocrine pancreas development
GO:0098849,13, cellular detoxification of cadmium ion
GO:1990266,13, neutrophil migration
GO:0042921,13, nuclear receptor-mediated glucocorticoid signaling pathway
GO:0034380,13, high-density lipoprotein particle assembly
GO:0036492,13, eiF2alpha phosphorylation in response to endoplasmic reticulum stress
GO:0045917,13, positive regulation of complement activation
GO:0048247,13, lymphocyte chemotaxis
GO:0021506,13, anterior neuropore closure
GO:0019081,13, viral translation
GO:1903170,13, negative regulation of calcium ion transmembrane transport
GO:0051445,13, regulation of meiotic cell cycle
GO:0016237,13, microautophagy
GO:0055017,13, cardiac muscle tissue growth
GO:0035672,13, oligopeptide transmembrane transport
GO:0006123,13," mitochondrial electron transport, cytochrome c to oxygen"
GO:0007181,13, transforming growth factor beta receptor complex assembly
GO:0032692,13, negative regulation of interleukin-1 production
GO:0061113,13, pancreas morphogenesis
GO:2000546,13, positive regulation of endothelial cell chemotaxis to fibroblast growth factor
GO:0061642,13, chemoattraction of axon
GO:0015730,13, propanoate transmembrane transport
GO:0045627,13, positive regulation of T-helper 1 cell differentiation
GO:1905898,13, positive regulation of response to endoplasmic reticulum stress
GO:0003289,13, atrial septum primum morphogenesis
GO:0035860,13, glial cell-derived neurotrophic factor receptor signaling pathway
GO:0051729,13," germline cell cycle switching, mitotic to meiotic cell cycle"
GO:0036293,13, response to decreased oxygen levels
GO:0001698,13, gastrin-induced gastric acid secretion
GO:1903974,13, positive regulation of cellular response to macrophage colony-stimulating factor stimulus
GO:0030208,13, dermatan sulfate biosynthetic process
GO:0000957,13, mitochondrial RNA catabolic process
GO:0098939,13, dendritic transport of mitochondrion
GO:0150054,13, regulation of postsynaptic neurotransmitter receptor diffusion trapping
GO:0018958,13, phenol-containing compound metabolic process
GO:0072673,13, lamellipodium morphogenesis
GO:1901994,13, negative regulation of meiotic cell cycle phase transition
GO:0000255,13, allantoin metabolic process
GO:1990611,13, regulation of cytoplasmic translational initiation in response to stress
GO:1903598,13, positive regulation of gap junction assembly
GO:0001572,13, lactosylceramide biosynthetic process
GO:1903392,13, negative regulation of adherens junction organization
GO:0010324,13, membrane invagination
GO:1902661,13, positive regulation of glucose mediated signaling pathway
GO:0061026,13, cardiac muscle tissue regeneration
GO:2001257,13, regulation of cation channel activity
GO:0035934,13, corticosterone secretion
GO:1902514,13, regulation of calcium ion transmembrane transport via high voltage-gated calcium channel
GO:0009308,13, amine metabolic process
GO:0098964,13, anterograde dendritic transport of messenger ribonucleoprotein complex
GO:0008078,13, mesodermal cell migration
GO:0023061,13, signal release
GO:0032379,13, positive regulation of intracellular lipid transport
GO:0140361,13, cyclic-GMP-AMP transmembrane import across plasma membrane
GO:0016447,13, somatic recombination of immunoglobulin gene segments
GO:0045743,13, positive regulation of fibroblast growth factor receptor signaling pathway
GO:0014015,13, positive regulation of gliogenesis
GO:0030238,13, male sex determination
GO:0035359,13, negative regulation of peroxisome proliferator activated receptor signaling pathway
GO:0032392,13, DNA geometric change
GO:0031619,13, homologous chromosome orientation in meiotic metaphase I
GO:1901558,13, response to metformin
GO:0060226,13, negative regulation of retinal cone cell fate commitment
GO:1904899,13, positive regulation of hepatic stellate cell proliferation
GO:0033626,13, positive regulation of integrin activation by cell surface receptor linked signal transduction
GO:0035590,13, purinergic nucleotide receptor signaling pathway
GO:0045652,13, regulation of megakaryocyte differentiation
GO:0051643,13, endoplasmic reticulum localization
GO:0140077,13, positive regulation of lipoprotein transport
GO:0046338,13, phosphatidylethanolamine catabolic process
GO:0033554,13, cellular response to stress
GO:0070070,13, proton-transporting V-type ATPase complex assembly
GO:0042631,13, cellular response to water deprivation
GO:0002803,13, positive regulation of antibacterial peptide production
GO:0006848,13, pyruvate transport
GO:0044572,13, [4Fe-4S] cluster assembly
GO:2000402,13, negative regulation of lymphocyte migration
GO:0015913,13, short-chain fatty acid transmembrane transport
GO:0006166,13, purine ribonucleoside salvage
GO:0032197,13, retrotransposition
GO:0061753,13, substrate localization to autophagosome
GO:0046449,13, creatinine metabolic process
GO:0048295,13, positive regulation of isotype switching to IgE isotypes
GO:0097052,13, L-kynurenine metabolic process
GO:0035526,13," retrograde transport, plasma membrane to Golgi"
GO:1902990,13, mitotic telomere maintenance via semi-conservative replication
GO:0070206,13, protein trimerization
GO:0097638,13, L-arginine import across plasma membrane
GO:2001141,13, regulation of RNA biosynthetic process
GO:1902897,13, regulation of postsynaptic density protein 95 clustering
GO:0021884,13, forebrain neuron development
GO:0035582,13, sequestering of BMP in extracellular matrix
GO:0010133,13, proline catabolic process to glutamate
GO:1905710,13, positive regulation of membrane permeability
GO:0015727,13, lactate transport
GO:0010753,13, positive regulation of cGMP-mediated signaling
GO:0097065,13, anterior head development
GO:0045736,13, negative regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0010898,13, positive regulation of triglyceride catabolic process
GO:0099089,13, establishment of endoplasmic reticulum localization to postsynapse
GO:0021529,13, spinal cord oligodendrocyte cell differentiation
GO:0072553,13, terminal button organization
GO:0070495,13, negative regulation of thrombin-activated receptor signaling pathway
GO:0002904,13, positive regulation of B cell apoptotic process
GO:1905906,13, regulation of amyloid fibril formation
GO:0021849,13, neuroblast division in subventricular zone
GO:0061502,13, early endosome to recycling endosome transport
GO:0097241,13, hematopoietic stem cell migration to bone marrow
GO:0006560,13, proline metabolic process
GO:0002246,13, wound healing involved in inflammatory response
GO:1905945,13, regulation of response to calcium ion
GO:0034975,13, protein folding in endoplasmic reticulum
GO:0032057,13, negative regulation of translational initiation in response to stress
GO:1903381,13, regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway
GO:0008038,13, neuron recognition
GO:0009113,13, purine nucleobase biosynthetic process
GO:1990625,13, negative regulation of cytoplasmic translational initiation in response to stress
GO:2000479,13, regulation of cAMP-dependent protein kinase activity
GO:1904472,13, positive regulation of endothelin production
GO:0006382,13, adenosine to inosine editing
GO:1905475,13, regulation of protein localization to membrane
GO:0021527,13, spinal cord association neuron differentiation
GO:2000757,13, negative regulation of peptidyl-lysine acetylation
GO:1902916,13, positive regulation of protein polyubiquitination
GO:0048340,13, paraxial mesoderm morphogenesis
GO:0015015,13," heparan sulfate proteoglycan biosynthetic process, enzymatic modification"
GO:0034374,13, low-density lipoprotein particle remodeling
GO:0060223,13, retinal rod cell fate commitment
GO:0000965,13, mitochondrial RNA 3'-end processing
GO:0032651,13, regulation of interleukin-1 beta production
GO:0051938,13, L-glutamate import
GO:0010998,13, regulation of translational initiation by eIF2 alpha phosphorylation
GO:0002891,13, positive regulation of immunoglobulin mediated immune response
GO:0000961,13, negative regulation of mitochondrial RNA catabolic process
GO:0006432,13, phenylalanyl-tRNA aminoacylation
GO:0045047,13, protein targeting to ER
GO:0021761,13, limbic system development
GO:0035655,13, interleukin-18-mediated signaling pathway
GO:0034311,13, diol metabolic process
GO:1990256,13, signal clustering
GO:0035589,13, G protein-coupled purinergic nucleotide receptor signaling pathway
GO:0006582,13, melanin metabolic process
GO:0043558,13, regulation of translational initiation in response to stress
GO:1904022,13, positive regulation of G protein-coupled receptor internalization
GO:0001514,13, selenocysteine incorporation
GO:0010951,13, negative regulation of endopeptidase activity
GO:0010837,13, regulation of keratinocyte proliferation
GO:0034633,13, retinol transport
GO:1904274,13, tricellular tight junction assembly
GO:1903526,12, negative regulation of membrane tubulation
GO:0140053,12, mitochondrial gene expression
GO:0090083,12, regulation of inclusion body assembly
GO:0035456,12, response to interferon-beta
GO:0070126,12, mitochondrial translational termination
GO:1903697,12, negative regulation of microvillus assembly
GO:0140157,12, ammonium import across plasma membrane
GO:0071720,12, sodium-independent prostaglandin transport
GO:1904872,12, regulation of telomerase RNA localization to Cajal body
GO:0036022,12, limb joint morphogenesis
GO:0019852,12, L-ascorbic acid metabolic process
GO:0003433,12, chondrocyte development involved in endochondral bone morphogenesis
GO:0061108,12, seminal vesicle epithelium development
GO:0043280,12, positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:0010757,12, negative regulation of plasminogen activation
GO:0060534,12, trachea cartilage development
GO:0042323,12," negative regulation of circadian sleep/wake cycle, non-REM sleep"
GO:2000077,12, negative regulation of type B pancreatic cell development
GO:0007195,12, adenylate cyclase-inhibiting dopamine receptor signaling pathway
GO:0042628,12, mating plug formation
GO:0034378,12, chylomicron assembly
GO:0019470,12, 4-hydroxyproline catabolic process
GO:0048697,12, positive regulation of collateral sprouting in absence of injury
GO:0033144,12, negative regulation of intracellular steroid hormone receptor signaling pathway
GO:0021691,12, cerebellar Purkinje cell layer maturation
GO:0034103,12, regulation of tissue remodeling
GO:0006104,12, succinyl-CoA metabolic process
GO:0001661,12, conditioned taste aversion
GO:1903387,12, positive regulation of homophilic cell adhesion
GO:0033609,12, oxalate metabolic process
GO:0010643,12, cell communication by chemical coupling
GO:1904669,12, ATP export
GO:0002023,12, reduction of food intake in response to dietary excess
GO:0010273,12, detoxification of copper ion
GO:0062196,12, regulation of lysosome size
GO:2000304,12, positive regulation of ceramide biosynthetic process
GO:0060707,12, trophoblast giant cell differentiation
GO:2001136,12, negative regulation of endocytic recycling
GO:0006116,12, NADH oxidation
GO:0098711,12, iron ion import across plasma membrane
GO:0097267,12, omega-hydroxylase P450 pathway
GO:0097211,12, cellular response to gonadotropin-releasing hormone
GO:0002763,12, positive regulation of myeloid leukocyte differentiation
GO:0060712,12, spongiotrophoblast layer development
GO:0042595,12, behavioral response to starvation
GO:0070100,12, negative regulation of chemokine-mediated signaling pathway
GO:1904996,12, positive regulation of leukocyte adhesion to vascular endothelial cell
GO:0014046,12, dopamine secretion
GO:1900125,12, regulation of hyaluronan biosynthetic process
GO:0061110,12, dense core granule biogenesis
GO:0033003,12, regulation of mast cell activation
GO:0090649,12, response to oxygen-glucose deprivation
GO:0035563,12, positive regulation of chromatin binding
GO:0016202,12, regulation of striated muscle tissue development
GO:0070256,12, negative regulation of mucus secretion
GO:0098734,12, macromolecule depalmitoylation
GO:0002082,12, regulation of oxidative phosphorylation
GO:0070198,12," protein localization to chromosome, telomeric region"
GO:0055005,12, ventricular cardiac myofibril assembly
GO:1902745,12, positive regulation of lamellipodium organization
GO:0034474,12, U2 snRNA 3'-end processing
GO:0048211,12, Golgi vesicle docking
GO:0003430,12, growth plate cartilage chondrocyte growth
GO:1903487,12, regulation of lactation
GO:1903401,12, L-lysine transmembrane transport
GO:0051414,12, response to cortisol
GO:0009644,12, response to high light intensity
GO:0016476,12, regulation of embryonic cell shape
GO:0140014,12, mitotic nuclear division
GO:0021683,12, cerebellar granular layer morphogenesis
GO:0072576,12, liver morphogenesis
GO:0035377,12, transepithelial water transport
GO:0035519,12, protein K29-linked ubiquitination
GO:0042636,12, negative regulation of hair cycle
GO:0046055,12, dGMP catabolic process
GO:0090520,12, sphingolipid mediated signaling pathway
GO:0006580,12, ethanolamine metabolic process
GO:0061364,12, apoptotic process involved in luteolysis
GO:0140236,12, translation at presynapse
GO:0120223,12, larynx morphogenesis
GO:1905344,12, prostaglandin catabolic process
GO:0007185,12, cell surface receptor protein tyrosine phosphatase signaling pathway
GO:0042559,12, pteridine-containing compound biosynthetic process
GO:0009435,12, NAD biosynthetic process
GO:0038095,12, Fc-epsilon receptor signaling pathway
GO:0000076,12, DNA replication checkpoint signaling
GO:0038161,12, prolactin signaling pathway
GO:0038016,12, insulin receptor internalization
GO:0072011,12, glomerular endothelium development
GO:0043545,12, molybdopterin cofactor metabolic process
GO:0099545,12, trans-synaptic signaling by trans-synaptic complex
GO:0072584,12, caveolin-mediated endocytosis
GO:1904442,12, negative regulation of thyroid gland epithelial cell proliferation
GO:0000455,12, enzyme-directed rRNA pseudouridine synthesis
GO:0048664,12, neuron fate determination
GO:2000342,12, negative regulation of chemokine (C-X-C motif) ligand 2 production
GO:0016031,12, tRNA import into mitochondrion
GO:0070661,12, leukocyte proliferation
GO:0097492,12, sympathetic neuron axon guidance
GO:0097552,12, mitochondrial double-strand break repair via homologous recombination
GO:0006556,12, S-adenosylmethionine biosynthetic process
GO:0090737,12, telomere maintenance via telomere trimming
GO:0032289,12, central nervous system myelin formation
GO:0042256,12, cytosolic ribosome assembly
GO:0060029,12, convergent extension involved in organogenesis
GO:0034553,12, mitochondrial respiratory chain complex II assembly
GO:1902161,12, positive regulation of cyclic nucleotide-gated ion channel activity
GO:0035036,12, sperm-egg recognition
GO:0045822,12, negative regulation of heart contraction
GO:0051466,12, positive regulation of corticotropin-releasing hormone secretion
GO:0071896,12, protein localization to adherens junction
GO:0035494,12, SNARE complex disassembly
GO:1903804,12, glycine import across plasma membrane
GO:0001905,12, activation of membrane attack complex
GO:0007296,12, vitellogenesis
GO:0071412,12, cellular response to genistein
GO:0097283,12, keratinocyte apoptotic process
GO:0030222,12, eosinophil differentiation
GO:1905627,12, regulation of serotonin biosynthetic process
GO:0120056,12, large intestinal transit
GO:0071376,12, cellular response to corticotropin-releasing hormone stimulus
GO:0071461,12, cellular response to redox state
GO:0021782,12, glial cell development
GO:1904024,12, negative regulation of glucose catabolic process to lactate via pyruvate
GO:0007093,12, mitotic cell cycle checkpoint signaling
GO:0006624,12, vacuolar protein processing
GO:0006297,12," nucleotide-excision repair, DNA gap filling"
GO:0045730,12, respiratory burst
GO:0060501,12, positive regulation of epithelial cell proliferation involved in lung morphogenesis
GO:1904778,12, positive regulation of protein localization to cell cortex
GO:0140242,12, translation at postsynapse
GO:0030836,12, positive regulation of actin filament depolymerization
GO:0043154,12, negative regulation of cysteine-type endopeptidase activity involved in apoptotic process
GO:1904935,12, positive regulation of cell proliferation in midbrain
GO:0032274,12, gonadotropin secretion
GO:1903100,12," 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process"
GO:0021895,12, cerebral cortex neuron differentiation
GO:0051066,12, dihydrobiopterin metabolic process
GO:0071638,12, negative regulation of monocyte chemotactic protein-1 production
GO:0140588,12, chromatin looping
GO:0043368,12, positive T cell selection
GO:1904060,12, negative regulation of locomotor rhythm
GO:0033108,12, mitochondrial respiratory chain complex assembly
GO:0060011,12, Sertoli cell proliferation
GO:0006269,12," DNA replication, synthesis of primer"
GO:0051654,12, establishment of mitochondrion localization
GO:0015774,12, polysaccharide transport
GO:0018283,12, iron incorporation into metallo-sulfur cluster
GO:0010042,12, response to manganese ion
GO:0002606,12, positive regulation of dendritic cell antigen processing and presentation
GO:1904188,12, negative regulation of transformation of host cell by virus
GO:0000819,12, sister chromatid segregation
GO:0060629,12, regulation of homologous chromosome segregation
GO:0060376,12, positive regulation of mast cell differentiation
GO:0061154,12, endothelial tube morphogenesis
GO:1990963,12, establishment of blood-retinal barrier
GO:0042262,12, DNA protection
GO:0061371,12, determination of heart left/right asymmetry
GO:0070671,12, response to interleukin-12
GO:0060374,12, mast cell differentiation
GO:0048645,12, animal organ formation
GO:0034651,12, cortisol biosynthetic process
GO:1904905,12, negative regulation of endothelial cell-matrix adhesion via fibronectin
GO:0007403,11, glial cell fate determination
GO:1901078,11, negative regulation of relaxation of muscle
GO:0010789,11, meiotic sister chromatid cohesion involved in meiosis I
GO:0003008,11, system process
GO:0034372,11, very-low-density lipoprotein particle remodeling
GO:0050881,11, musculoskeletal movement
GO:0071027,11, nuclear RNA surveillance
GO:1903010,11, regulation of bone development
GO:0051593,11, response to folic acid
GO:0060675,11, ureteric bud morphogenesis
GO:0007091,11, metaphase/anaphase transition of mitotic cell cycle
GO:0035542,11, regulation of SNARE complex assembly
GO:0007284,11, spermatogonial cell division
GO:0045609,11, positive regulation of inner ear auditory receptor cell differentiation
GO:0002457,11, T cell antigen processing and presentation
GO:2000052,11, positive regulation of non-canonical Wnt signaling pathway
GO:1905675,11, negative regulation of adaptive immune memory response
GO:0060197,11, cloacal septation
GO:0140744,11, negative regulation of lncRNA transcription
GO:0051306,11, mitotic sister chromatid separation
GO:0021940,11, positive regulation of cerebellar granule cell precursor proliferation
GO:0033031,11, positive regulation of neutrophil apoptotic process
GO:0034087,11, establishment of mitotic sister chromatid cohesion
GO:0010833,11, telomere maintenance via telomere lengthening
GO:0051791,11, medium-chain fatty acid metabolic process
GO:0046015,11, regulation of transcription by glucose
GO:0034473,11, U1 snRNA 3'-end processing
GO:0045187,11," regulation of circadian sleep/wake cycle, sleep"
GO:0042119,11, neutrophil activation
GO:0036135,11, Schwann cell migration
GO:0032244,11, positive regulation of nucleoside transport
GO:0032784,11, regulation of DNA-templated transcription elongation
GO:0051867,11," general adaptation syndrome, behavioral process"
GO:0021502,11, neural fold elevation formation
GO:0060390,11, regulation of SMAD protein signal transduction
GO:1990384,11, hyaloid vascular plexus regression
GO:0021762,11, substantia nigra development
GO:0061300,11, cerebellum vasculature development
GO:0046500,11, S-adenosylmethionine metabolic process
GO:0090288,11, negative regulation of cellular response to growth factor stimulus
GO:0000301,11," retrograde transport, vesicle recycling within Golgi"
GO:0003138,11, primary heart field specification
GO:0021814,11, cell motility involved in cerebral cortex radial glia guided migration
GO:0045685,11, regulation of glial cell differentiation
GO:1902635,11," 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process"
GO:0015734,11, taurine transmembrane transport
GO:0033027,11, positive regulation of mast cell apoptotic process
GO:0097529,11, myeloid leukocyte migration
GO:0060235,11, lens induction in camera-type eye
GO:2000058,11, regulation of ubiquitin-dependent protein catabolic process
GO:0044546,11, NLRP3 inflammasome complex assembly
GO:0035932,11, aldosterone secretion
GO:0097305,11, response to alcohol
GO:0048592,11, eye morphogenesis
GO:0071895,11, odontoblast differentiation
GO:0021556,11, central nervous system formation
GO:0051248,11, negative regulation of protein metabolic process
GO:0010430,11, fatty acid omega-oxidation
GO:2000424,11, positive regulation of eosinophil chemotaxis
GO:0014843,11, growth factor dependent regulation of skeletal muscle satellite cell proliferation
GO:0070670,11, response to interleukin-4
GO:0050777,11, negative regulation of immune response
GO:0016554,11, cytidine to uridine editing
GO:0034476,11, U5 snRNA 3'-end processing
GO:2000108,11, positive regulation of leukocyte apoptotic process
GO:0015911,11, long-chain fatty acid import across plasma membrane
GO:0007113,11, endomitotic cell cycle
GO:0046931,11, pore complex assembly
GO:0000183,11, rDNA heterochromatin formation
GO:2001206,11, positive regulation of osteoclast development
GO:1905461,11, positive regulation of vascular associated smooth muscle cell apoptotic process
GO:0046689,11, response to mercury ion
GO:0035900,11, response to isolation stress
GO:0046668,11, regulation of retinal cell programmed cell death
GO:0060128,11, corticotropin hormone secreting cell differentiation
GO:0060160,11, negative regulation of dopamine receptor signaling pathway
GO:0010944,11, negative regulation of transcription by competitive promoter binding
GO:0060466,11, activation of meiosis involved in egg activation
GO:1902601,11, silver ion transmembrane transport
GO:0097254,11, renal tubular secretion
GO:0141008,11, retrotransposon silencing by mRNA destabilization
GO:2001233,11, regulation of apoptotic signaling pathway
GO:0090205,11, positive regulation of cholesterol metabolic process
GO:0072289,11, metanephric nephron tubule formation
GO:0010469,11, regulation of signaling receptor activity
GO:1903385,11, regulation of homophilic cell adhesion
GO:0031247,11, actin rod assembly
GO:0015679,11, plasma membrane copper ion transport
GO:0016266,11, O-glycan processing
GO:0031331,11, positive regulation of cellular catabolic process
GO:0097531,11, mast cell migration
GO:0043418,11, homocysteine catabolic process
GO:0070221,11," sulfide oxidation, using sulfide"
GO:0090330,11, regulation of platelet aggregation
GO:0002309,11, T cell proliferation involved in immune response
GO:0016444,11, somatic cell DNA recombination
GO:0098597,11, observational learning
GO:0031401,11, positive regulation of protein modification process
GO:0034405,11, response to fluid shear stress
GO:0021984,11, adenohypophysis development
GO:0110064,11, lncRNA catabolic process
GO:0036324,11, vascular endothelial growth factor receptor-2 signaling pathway
GO:0036493,11, positive regulation of translation in response to endoplasmic reticulum stress
GO:0021836,11, chemorepulsion involved in postnatal olfactory bulb interneuron migration
GO:1904835,11, dorsal root ganglion morphogenesis
GO:0030194,11, positive regulation of blood coagulation
GO:0001574,11, ganglioside biosynthetic process
GO:0071504,11, cellular response to heparin
GO:0072012,11, glomerulus vasculature development
GO:0051970,11, negative regulation of transmission of nerve impulse
GO:0034367,11, protein-containing complex remodeling
GO:1990079,11, cartilage homeostasis
GO:0044528,11, regulation of mitochondrial mRNA stability
GO:1901843,11, positive regulation of high voltage-gated calcium channel activity
GO:0090156,11, intracellular sphingolipid homeostasis
GO:0070814,11, hydrogen sulfide biosynthetic process
GO:0010795,11, regulation of ubiquinone biosynthetic process
GO:0007624,11, ultradian rhythm
GO:0050929,11, induction of negative chemotaxis
GO:0035063,11, nuclear speck organization
GO:0060242,11, contact inhibition
GO:0036065,11, fucosylation
GO:1904025,11, positive regulation of glucose catabolic process to lactate via pyruvate
GO:0002724,11, regulation of T cell cytokine production
GO:0007198,11, adenylate cyclase-inhibiting serotonin receptor signaling pathway
GO:0035963,11, cellular response to interleukin-13
GO:0035426,11, extracellular matrix-cell signaling
GO:0021592,11, fourth ventricle development
GO:0038160,11, CXCL12-activated CXCR4 signaling pathway
GO:1903375,11, facioacoustic ganglion development
GO:0033603,11, positive regulation of dopamine secretion
GO:0045016,11, mitochondrial magnesium ion transmembrane transport
GO:0003190,11, atrioventricular valve formation
GO:0046886,11, positive regulation of hormone biosynthetic process
GO:0032785,11," negative regulation of DNA-templated transcription, elongation"
GO:0071672,11, negative regulation of smooth muscle cell chemotaxis
GO:0006534,11, cysteine metabolic process
GO:0033512,11, L-lysine catabolic process to acetyl-CoA via saccharopine
GO:0032900,11, negative regulation of neurotrophin production
GO:1990953,11, intramanchette transport
GO:0009822,11, alkaloid catabolic process
GO:0046601,11, positive regulation of centriole replication
GO:0071639,11, positive regulation of monocyte chemotactic protein-1 production
GO:1902913,11, positive regulation of neuroepithelial cell differentiation
GO:0000272,11, polysaccharide catabolic process
GO:0060267,11, positive regulation of respiratory burst
GO:1902268,11, negative regulation of polyamine transmembrane transport
GO:0015670,11, carbon dioxide transport
GO:0060947,11, cardiac vascular smooth muscle cell differentiation
GO:0090383,11, phagosome acidification
GO:0141005,11, retrotransposon silencing by heterochromatin formation
GO:0070481,11," nuclear-transcribed mRNA catabolic process, non-stop decay"
GO:0086103,11, G protein-coupled receptor signaling pathway involved in heart process
GO:0010803,11, regulation of tumor necrosis factor-mediated signaling pathway
GO:0010593,11, negative regulation of lamellipodium assembly
GO:0042045,11, epithelial fluid transport
GO:0098908,11, regulation of neuronal action potential
GO:0097116,11, gephyrin clustering involved in postsynaptic density assembly
GO:0014064,11, positive regulation of serotonin secretion
GO:0061534,11," gamma-aminobutyric acid secretion, neurotransmission"
GO:1990009,11, retinal cell apoptotic process
GO:0051580,11, regulation of neurotransmitter uptake
GO:0097006,11, regulation of plasma lipoprotein particle levels
GO:0001550,11, ovarian cumulus expansion
GO:0070384,11, Harderian gland development
GO:0099518,11, vesicle cytoskeletal trafficking
GO:0035617,11, stress granule disassembly
GO:0002689,11, negative regulation of leukocyte chemotaxis
GO:1900148,11, negative regulation of Schwann cell migration
GO:0002503,11, peptide antigen assembly with MHC class II protein complex
GO:0060318,11, definitive erythrocyte differentiation
GO:0043697,11, cell dedifferentiation
GO:0007190,11, activation of adenylate cyclase activity
GO:0090257,11, regulation of muscle system process
GO:0014728,11, regulation of the force of skeletal muscle contraction
GO:1901143,11, insulin catabolic process
GO:2000659,11, regulation of interleukin-1-mediated signaling pathway
GO:0006584,11, catecholamine metabolic process
GO:0014041,11, regulation of neuron maturation
GO:0021972,11, corticospinal neuron axon guidance through spinal cord
GO:0035459,11, vesicle cargo loading
GO:0021649,11, vestibulocochlear nerve structural organization
GO:0019363,11, pyridine nucleotide biosynthetic process
GO:0062028,11, regulation of stress granule assembly
GO:0046395,11, carboxylic acid catabolic process
GO:0033262,11, regulation of nuclear cell cycle DNA replication
GO:0046069,11, cGMP catabolic process
GO:0033326,11, cerebrospinal fluid secretion
GO:0048743,11, positive regulation of skeletal muscle fiber development
GO:0072734,11, cellular response to staurosporine
GO:0098926,11, postsynaptic signal transduction
GO:1900453,11, negative regulation of long-term synaptic depression
GO:0019344,11, cysteine biosynthetic process
GO:0071042,11, nuclear polyadenylation-dependent mRNA catabolic process
GO:0015884,11, folic acid transport
GO:0021822,11, negative regulation of cell motility involved in cerebral cortex radial glia guided migration
GO:0015803,11, branched-chain amino acid transport
GO:0061551,11, trigeminal ganglion development
GO:1990410,11, adrenomedullin receptor signaling pathway
GO:0021555,11, midbrain-hindbrain boundary morphogenesis
GO:0042660,11, positive regulation of cell fate specification
GO:0071676,11, negative regulation of mononuclear cell migration
GO:0098972,11, anterograde dendritic transport of mitochondrion
GO:0002793,11, positive regulation of peptide secretion
GO:0071219,11, cellular response to molecule of bacterial origin
GO:0150107,11, positive regulation of protein localization to cell-cell junction
GO:1990542,11, mitochondrial transmembrane transport
GO:0098921,11, retrograde trans-synaptic signaling by endocannabinoid
GO:0051177,11, meiotic sister chromatid cohesion
GO:0033034,11, positive regulation of myeloid cell apoptotic process
GO:0070348,11, negative regulation of brown fat cell proliferation
GO:0090260,11, negative regulation of retinal ganglion cell axon guidance
GO:0072660,11, maintenance of protein location in plasma membrane
GO:1904199,11, positive regulation of regulation of vascular associated smooth muscle cell membrane depolarization
GO:0034391,11, regulation of smooth muscle cell apoptotic process
GO:0071025,11, RNA surveillance
GO:1903949,11, positive regulation of atrial cardiac muscle cell action potential
GO:0021993,11, initiation of neural tube closure
GO:0007423,11, sensory organ development
GO:0061042,10, vascular wound healing
GO:0019255,10, glucose 1-phosphate metabolic process
GO:0061469,10, regulation of type B pancreatic cell proliferation
GO:1901386,10, negative regulation of voltage-gated calcium channel activity
GO:0061582,10, intestinal epithelial cell migration
GO:0060335,10, positive regulation of type II interferon-mediated signaling pathway
GO:0070243,10, regulation of thymocyte apoptotic process
GO:0071871,10, response to epinephrine
GO:0010961,10, intracellular magnesium ion homeostasis
GO:0045926,10, negative regulation of growth
