GO Term,Number of Entries
GO:0043403,145
GO:0003415,0
GO:0060677,20
GO:0070655,0
GO:0048668,44
GO:0036178,0
GO:0080189,0
GO:0048630,14
GO:0060763,23
GO:1990138,162
GO:0001832,60
GO:0044181,0
0040007,0
GO:0001555,0
GO:0044180,0
GO:0070654,0
GO:0001545,10
GO:0036180,0
GO:0003430,12
GO:0080112,0
GO:0060523,2
GO:0009825,0
GO:0060602,0
GO:0035001,0
GO:0007119,0
GO:0001403,0
GO:0035016,0
GO:0060736,18
GO:0090214,0
GO:0003405,0
GO:0042815,0
GO:0036165,0
GO:0060419,233
GO:0001550,11
GO:0036168,0
GO:1990399,0
GO:0003246,0
GO:0009932,0
GO:0043929,0
GO:0061137,0
GO:0070659,0
GO:0035849,0
GO:0009826,6
GO:0007394,0
GO:0080192,0
GO:0007446,0
GO:0003242,3
GO:0061049,77
GO:0080159,0
GO:0051210,0
GO:0061335,0
GO:0060737,0
GO:0010448,0
GO:0060447,1
GO:0007295,0
GO:0051124,13
GO:0048673,0
GO:0048674,0
GO:0060560,1
GO:0042246,92
GO:1990523,16
GO:0048767,0
GO:0080191,0
GO:0070783,0
GO:0048588,49
GO:0090378,0
GO:0097719,0
GO:0010450,0
GO:0048689,0
GO:0097318,0
GO:0009860,0
GO:0060649,0
GO:0060682,8
GO:0098868,29
GO:0003401,8
GO:0090245,9
GO:0048526,0
GO:0007117,0
GO:0051211,0
GO:1902284,0
GO:0003243,0
GO:0007118,0
GO:0060751,5
GO:0048589,155
GO:0072092,54
GO:0048669,36
GO:0048682,0
GO:0003248,0
GO:0001546,5
GO:0055017,13
GO:0036170,0
GO:0042702,0
GO:0045311,0
GO:0003432,0
GO:0036267,0
GO:0048768,0
GO:0060437,5
GO:0003244,0
GO:0060503,0
GO:0010451,0
GO:0070657,0
GO:0048677,0
GO:0060681,0
GO:0098867,1
GO:0061026,13
GO:0001547,22
GO:0080193,0
GO:0060516,0
GO:0035265,55
GO:0080186,0
GO:0097317,0
GO:0003247,0
GO:0060667,0
GO:0035266,0
GO:0090254,0
GO:0060654,0
GO:0030447,0
GO:0016049,0
GO:0080190,0
GO:0035015,0
GO:0060186,0
GO:0003245,0
GO:0007285,0
GO:0043930,0
GO:0048846,86
GO:0010449,0
GO:0042066,0
GO:0003241,35
GO:0048675,86
GO:0060449,3
GO:0031101,0
GO:0042814,0
GO:0030715,0
GO:0003416,228
GO:0080117,0
GO:0036171,0
GO:0014730,0
GO:0097490,48
GO:0097484,47
GO:0035264,599
GO:0007124,0
GO:0036177,0
GO:0042065,0
GO:0030448,0
GO:0044182,0
