GO Term,Number of Entries
GO:0001542,28
GO:0001548,0
0048511,0
GO:0003054,0
GO:0001545,10
GO:0042704,0
GO:0043930,0
GO:0007623,334
GO:0007624,11
GO:0022602,6
GO:0060112,0
GO:0043929,0
GO:0003052,0
GO:0060086,2
GO:0044850,0
GO:0001547,22
GO:0001543,0
GO:0001553,58
GO:0003005,0
GO:0032922,175
GO:0042699,5
GO:0042748,34
GO:0042746,0
GO:0035648,0
GO:0048512,59
GO:0042747,2
GO:0044849,67
GO:0045475,38
GO:0001551,0
GO:0001550,11
GO:0003053,0
GO:0042745,15
GO:0050802,0
GO:0003055,0
GO:0001554,37
GO:0001544,3
GO:0003004,0
GO:0097167,19
GO:0035882,0
GO:0008062,0
GO:0022410,15
GO:0042701,0
GO:0042702,0
GO:0010617,0
GO:0003003,0
GO:0042698,19
GO:0001546,5
