GO Term,Number of Entries
GO:0042149,222
GO:0072470,0
GO:0035744,0
GO:0075137,0
GO:0002242,0
GO:1990267,5
GO:0035728,0
GO:0046775,0
GO:0071301,0
GO:0042784,0
GO:1901558,13
GO:0002455,9
GO:0043326,0
GO:0032354,19
GO:0071402,0
GO:0071444,0
GO:1905218,0
GO:1904610,0
GO:0071316,28
GO:1904637,18
GO:0034287,0
GO:0071481,80
GO:1990878,3
GO:0090717,5
GO:0009600,0
GO:0075043,0
GO:0052168,0
GO:0050974,62
GO:0071229,0
GO:0001562,0
GO:0039671,0
GO:0050970,0
GO:0070483,1
GO:0072760,0
GO:0014806,1
GO:0071258,3
GO:0071242,105
GO:0071348,17
GO:0031427,25
GO:0009631,14
GO:0036279,0
GO:0031848,31
GO:1905374,0
GO:0010045,18
GO:0043479,0
GO:0007604,0
GO:0097704,0
GO:0006791,0
GO:0032933,61
GO:0006971,40
GO:0071469,5
GO:0000720,19
GO:0071390,0
GO:0071298,2
GO:0044344,316
GO:0097327,21
GO:0071370,0
GO:0014873,3
GO:1901354,0
GO:0044592,0
GO:0032499,0
GO:0010205,0
GO:0042468,0
GO:0097337,0
GO:0060359,0
GO:0014012,1
GO:0097333,0
GO:0014805,0
GO:0036276,0
GO:0009652,0
GO:1905441,0
GO:0071454,1
GO:0002210,0
GO:0052103,0
GO:0009861,0
GO:0071731,28
GO:0071324,0
GO:0050912,35
GO:0071450,0
GO:0010288,67
GO:0080034,0
GO:0051414,12
GO:0009270,0
GO:0097210,1
GO:0090546,0
GO:0072745,0
GO:0072720,0
GO:0097705,0
GO:1904560,0
GO:0072396,0
GO:0071214,0
GO:0071279,3
GO:0071505,0
GO:0039723,0
GO:0036471,2
GO:0009582,0
GO:0072733,0
GO:1902169,0
GO:0071355,0
GO:0035458,198
GO:0009644,12
GO:0080184,0
GO:0042262,12
GO:0043504,8
GO:0006983,36
GO:0009749,321
GO:1904585,0
GO:0016056,1
GO:0071315,10
GO:0014894,107
GO:1904312,0
GO:1990790,0
GO:0070391,0
GO:0044355,0
GO:0097403,7
GO:0001905,12
GO:0097466,4
GO:0002215,7
GO:1990054,0
GO:0010225,48
GO:0072721,9
GO:0031001,0
GO:0097706,0
GO:0032497,27
GO:0036287,0
GO:0036293,13
GO:1901344,0
GO:0071233,173
GO:0034054,0
GO:1905233,5
GO:0006959,88
GO:0031104,16
GO:0098542,51
GO:0051365,5
GO:0009583,5
GO:0072710,0
GO:0009620,0
GO:0006301,42
GO:0050971,0
GO:1904045,47
GO:0009625,0
GO:0001080,0
GO:0051413,1
GO:0044752,2
GO:0009615,223
GO:0010157,0
GO:0071392,125
GO:0097306,0
GO:0071470,100
GO:0071495,0
GO:1905794,0
GO:0071225,34
GO:0045014,0
GO:0001582,0
GO:0098586,161
GO:0071363,193
GO:0002423,0
GO:0006979,419
GO:0072399,0
GO:0002558,0
GO:0033762,26
GO:1904044,18
GO:1901424,0
GO:0051776,0
GO:0000765,0
GO:1902521,0
GO:0006952,248
GO:1905092,0
GO:0010201,0
GO:0072744,0
GO:0002437,55
GO:0061857,0
GO:0071457,0
GO:0036271,0
GO:0072479,0
GO:0072735,0
GO:1902170,13
GO:0071367,0
GO:0072715,0
GO:0009647,0
GO:0075139,0
GO:0010350,0
GO:0071466,386
GO:0140404,0
GO:1903443,0
GO:0051594,0
GO:0071463,0
GO:0035994,84
GO:0071377,50
GO:0071393,88
GO:1990451,0
GO:1901322,0
GO:0034097,228
GO:0072754,0
GO:0001878,18
GO:1904405,0
GO:0035011,0
GO:1905795,19
GO:0097237,80
GO:0141115,0
GO:0071288,8
GO:0002384,0
GO:0002459,0
GO:0034599,283
GO:1905119,0
GO:0007584,441
GO:0141178,0
GO:0036368,2
GO:0052081,0
GO:0071350,0
GO:0048265,131
GO:0044320,37
GO:0009267,363
GO:0070672,5
GO:0035983,6
GO:0000196,0
GO:0042221,114
GO:0072759,0
GO:0002250,480
GO:1904628,26
GO:0097012,6
GO:0072711,96
GO:0006302,390
GO:0002251,0
GO:1905640,0
GO:1901562,0
GO:0048650,0
GO:0046688,45
GO:0097329,0
GO:0072730,0
GO:0034644,217
GO:0052170,0
GO:0009753,0
GO:0052162,0
GO:0016048,29
GO:0160144,0
GO:0097195,2
GO:0072761,0
GO:1904321,0
GO:0009314,31
GO:0070141,5
GO:0050980,0
GO:0010193,0
GO:0071223,26
GO:0071360,48
GO:0002000,0
GO:0071799,19
GO:1904391,0
GO:0002385,19
GO:0140415,0
GO:0071420,34
GO:1903442,4
GO:1990394,0
GO:0141141,0
GO:0036165,0
GO:0061848,0
GO:1905307,0
GO:0001981,0
GO:0035745,0
GO:0010335,0
GO:0014870,4
GO:0071871,10
GO:1901326,0
GO:0101027,0
GO:1905835,0
GO:0035080,0
GO:0098756,0
GO:0090650,21
GO:0051838,17
GO:0098758,0
GO:1902778,0
GO:0002424,0
GO:0034021,35
GO:0033986,18
GO:1904309,0
GO:0071401,0
GO:0036167,0
GO:0014074,42
GO:1990840,0
GO:0043153,74
GO:0071548,48
GO:0050830,286
GO:0043476,0
GO:0052482,0
GO:0035865,141
GO:0044790,169
GO:0080167,0
GO:0075293,0
GO:0140469,21
GO:1902074,25
GO:0030420,0
GO:0097067,21
GO:0071464,70
GO:0036447,0
GO:0042088,17
GO:0052086,0
GO:0016475,0
GO:0042595,12
GO:0071235,0
GO:0051592,415
GO:0010037,31
GO:0140533,0
GO:1990737,2
GO:0014865,0
GO:0061847,1
GO:0002525,3
GO:0014899,0
GO:0071451,0
GO:0036498,34
GO:1904558,0
GO:0035924,119
GO:0090649,12
GO:0031670,47
GO:0009624,16
GO:1903927,0
GO:0019676,0
GO:0048651,0
GO:0002464,0
GO:0036500,0
GO:0001795,0
GO:0009617,710
GO:1905641,0
GO:0001913,75
GO:0009682,0
GO:0052078,0
GO:0080053,0
GO:0071236,16
GO:1905235,5
GO:0052553,0
GO:0010477,0
GO:0071285,53
GO:0002241,0
GO:1902665,0
GO:0010203,0
GO:0097336,0
GO:0072423,26
GO:1905440,0
GO:0002403,0
GO:0097702,0
GO:0055122,0
GO:0031667,299
GO:1901593,0
GO:0009741,0
GO:0034776,23
GO:0071325,0
GO:0072438,0
GO:0090719,0
GO:1990314,68
GO:0002462,1
GO:0050967,0
GO:0060006,0
GO:0014893,0
GO:0072402,0
GO:0002419,8
GO:0071560,506
GO:0052034,0
GO:0000431,0
GO:1904385,127
GO:0075528,0
GO:0141140,0
GO:0071391,81
GO:0010018,0
GO:0006298,127
GO:0031098,71
GO:0099046,0
GO:0036170,0
GO:0051412,26
GO:0070849,6
GO:0097385,0
GO:0097551,0
GO:1902617,7
GO:0009785,0
GO:1903013,0
GO:0007232,0
GO:0140367,58
GO:0036298,0
GO:1990416,56
GO:0009629,14
GO:0071372,56
GO:0003034,0
GO:0033274,0
GO:1901327,0
GO:1990830,358
GO:0071369,0
GO:0036180,0
GO:0039724,0
GO:1904148,0
GO:1904314,0
GO:0071289,0
GO:0052003,0
GO:0072703,1
GO:0120304,0
GO:0061482,0
GO:1902784,0
GO:0070669,5
GO:0071351,1
GO:0071220,0
GO:1904844,0
GO:0072734,11
GO:0071239,0
GO:0071453,2
GO:1905430,2
GO:0042538,1
GO:1905217,0
GO:1905842,0
GO:0014874,0
GO:1902708,0
GO:0034696,0
GO:0071349,7
GO:0052173,0
GO:0071238,0
GO:0072538,38
GO:0035075,0
GO:1904565,1
GO:0071247,3
GO:0060013,47
GO:0014734,0
GO:1905834,0
GO:0071249,0
GO:1904646,284
GO:0000724,500
GO:0001964,149
GO:1905630,0
GO:0009597,19
GO:1904559,0
GO:0071259,0
GO:1905243,0
GO:0097185,4
GO:0016046,0
GO:0040040,31
GO:0072464,0
GO:1901367,0
GO:0070542,89
GO:0014879,0
GO:0097066,33
GO:0031319,0
GO:0036272,0
GO:0055121,0
GO:0044773,32
GO:0002387,0
GO:1904638,0
GO:0097699,6
GO:1902347,0
GO:0071248,3
GO:0009731,0
GO:0014072,0
GO:0071496,0
GO:0002228,0
GO:0034694,0
GO:1904384,0
GO:0002239,0
GO:0002243,0
GO:1905144,27
GO:1904641,0
GO:0072722,0
GO:1904561,0
GO:1990831,0
GO:1903843,0
GO:0003039,0
GO:0097338,0
GO:1905546,0
GO:0009907,0
GO:0006986,140
GO:0046787,0
GO:1990823,0
GO:0014854,7
GO:0071412,12
GO:1990359,0
GO:0009581,0
GO:0071490,0
GO:0031571,41
GO:0039585,0
GO:0002013,0
GO:0001788,1
GO:1905387,0
GO:0042332,0
GO:0071375,52
GO:0009732,0
GO:0009593,5
GO:1904403,0
GO:0050968,20
GO:0009610,0
GO:0036015,0
GO:0071385,108
GO:0002402,0
GO:0010036,0
GO:0051591,145
GO:0010446,1
GO:0046677,49
GO:0010048,0
GO:0002456,14
GO:0009649,4
GO:0072748,0
GO:1902618,4
GO:1904586,0
GO:0032495,68
GO:1990858,1
GO:0043695,0
GO:0034405,11
GO:0080183,0
GO:0036018,0
GO:0032870,121
GO:0002223,16
GO:0071305,15
GO:0097501,0
GO:0055094,0
GO:1904014,0
GO:1904568,29
GO:0042495,0
GO:0070741,0
GO:0016068,0
GO:1902786,0
GO:1903165,0
GO:0070723,18
GO:0014850,174
GO:0034695,46
GO:0009408,154
GO:0071358,0
GO:0071309,0
GO:1904620,0
GO:0097305,11
GO:0051593,11
GO:0097681,68
GO:0071380,71
GO:0072753,0
GO:1904401,1
GO:1905225,0
GO:0098761,40
GO:1902351,0
GO:0071461,12
GO:1903412,14
GO:0035094,170
GO:1901556,0
GO:0000725,15
GO:1904880,0
GO:0032526,142
GO:0097279,3
GO:0009269,0
GO:1902709,0
GO:0072444,0
GO:0002347,0
GO:1990834,22
GO:0015976,0
GO:0093002,0
GO:0036168,0
GO:0097552,12
GO:0106096,4
GO:0097532,0
GO:0080029,0
GO:0002209,0
GO:1903496,1
GO:0043501,17
GO:0000411,0
GO:0007603,15
GO:0075136,0
GO:0051409,5
GO:0052200,0
GO:0036245,0
GO:0120302,0
GO:0009603,0
GO:0002389,0
GO:0071361,85
GO:0009641,0
GO:0071408,0
GO:0071483,0
GO:0050831,0
GO:1902782,0
GO:0072737,0
GO:0071318,152
GO:1990839,0
GO:0039501,0
GO:0071257,36
GO:0002235,0
GO:0034263,8
GO:0071222,480
GO:0090718,0
GO:0036244,0
GO:0007637,0
GO:0071359,20
GO:0009746,0
GO:0090551,0
GO:0010555,0
GO:1905836,0
GO:0072731,0
GO:0016045,64
GO:0097331,0
GO:1902789,0
GO:0034050,6
GO:0045087,1469
GO:1904630,14
GO:0036146,14
GO:0000077,183
GO:1904392,0
GO:0046686,88
GO:0070781,0
GO:0071291,0
GO:0071414,0
GO:0009754,0
GO:1990066,0
GO:0071346,322
GO:0032572,0
GO:0043207,0
GO:1990776,55
GO:1904975,3
GO:0050963,0
GO:0071472,18
GO:1904387,0
GO:0071405,0
GO:0032025,8
GO:0071726,0
GO:0071773,125
GO:0009455,0
GO:0071260,491
GO:0033661,0
GO:1902785,0
GO:0071312,30
GO:0010269,29
GO:0046957,0
GO:0010038,70
GO:0033195,0
GO:1901563,0
GO:0070543,0
GO:0071232,0
GO:0010046,42
GO:0034198,155
GO:0002229,0
GO:1990867,3
GO:0097307,0
GO:0039540,0
GO:0003031,2
GO:1904102,0
GO:0106097,0
GO:0006953,138
GO:0071352,0
GO:0071221,0
GO:0014878,7
GO:0098543,0
GO:0042539,0
GO:0002007,0
GO:0097238,0
