GO Term,Number of Entries
GO:1902730,17
GO:0045572,0
GO:0060408,0
GO:0045770,0
GO:0043322,0
GO:0033007,30
GO:0032881,0
GO:0045813,0
GO:0032229,44
GO:0045221,0
GO:0001811,0
GO:0045824,133
GO:0048636,0
GO:0086004,170
GO:1904242,0
GO:0045819,8
GO:1903844,0
GO:1905520,4
GO:1904198,0
GO:1900711,0
GO:1903611,0
GO:0045598,69
GO:0150191,0
GO:0150144,0
GO:0032699,0
GO:2000859,0
GO:1901898,8
GO:0070759,0
GO:0002635,22
GO:0010061,0
GO:1904960,6
GO:2000380,9
GO:0023058,0
GO:2000406,58
GO:1902769,0
GO:0090101,0
GO:0061808,0
GO:0043557,0
GO:1900247,0
GO:1905330,0
GO:0032653,2
GO:0003065,1
GO:1902530,16
GO:1903890,0
GO:1904672,16
GO:0106013,0
GO:1904250,0
GO:1900313,0
GO:2000692,0
GO:0090085,5
GO:2001056,21
GO:1904118,0
GO:0032700,29
GO:0019222,30
GO:2001015,1
GO:1903344,0
GO:0002707,0
GO:0051138,24
GO:0060302,0
GO:0038180,80
GO:2000521,1
GO:0120195,0
GO:2000898,0
GO:1990127,0
GO:0010569,122
GO:1902864,0
GO:1903904,51
GO:0090187,7
GO:0014728,11
GO:0009786,4
GO:1905824,0
GO:0051386,13
GO:0050939,0
GO:1901896,31
GO:0032711,0
GO:0002693,17
GO:0045633,0
GO:0007319,0
GO:1905542,0
GO:1904243,0
GO:1905918,0
GO:0070327,74
GO:1904406,0
GO:0042572,128
GO:0002832,0
GO:1903919,20
GO:2000050,0
GO:0032352,0
GO:1902340,2
GO:0046324,21
GO:1905101,0
GO:0001910,0
GO:2000205,0
GO:2000060,192
GO:1900190,0
GO:1903316,0
GO:1905610,0
GO:2000061,0
GO:0090201,66
GO:0033684,0
GO:0106279,0
GO:1900744,29
GO:0039531,0
GO:2000199,0
GO:0031556,0
GO:0034199,0
GO:1903552,0
GO:0051126,0
GO:0060725,0
GO:0075291,0
GO:1900086,44
GO:0034138,32
GO:0050770,196
GO:0086028,0
GO:0061048,0
GO:1901507,0
GO:0030187,0
GO:0032712,1
GO:0045578,0
GO:2001238,94
GO:0001815,19
GO:0042130,150
GO:0140866,0
GO:1901796,32
GO:1903645,0
GO:0071654,0
GO:0141162,0
GO:0002858,0
GO:0062027,0
GO:0045861,58
GO:0007499,0
GO:2000356,0
GO:1903215,29
GO:0034131,0
GO:0040009,9
GO:0009691,0
GO:0031138,0
GO:0014712,0
GO:0070473,0
GO:1905745,0
GO:0048775,0
GO:0002863,0
GO:0010516,0
GO:0097192,86
GO:1901348,0
GO:0070757,0
GO:1905937,0
GO:0051463,10
GO:2001033,31
GO:0060694,0
GO:1904417,32
GO:0032886,62
GO:0043463,0
GO:1904056,17
GO:0048922,0
GO:0060337,67
GO:0035564,15
GO:0080140,0
GO:2000432,0
GO:0021939,0
GO:0080135,20
GO:1904755,0
GO:0061945,0
GO:0033625,59
GO:1903066,0
GO:2001271,5
GO:1900395,0
GO:0045455,0
GO:0002788,0
GO:1904246,0
GO:2000839,0
GO:2000304,12
GO:0048744,0
GO:0010898,13
GO:0045649,0
GO:1900233,0
GO:1905262,0
GO:0072108,8
GO:1905167,46
GO:2000465,0
GO:1904323,0
GO:0070949,0
GO:0046877,0
GO:0120305,0
GO:1904076,0
GO:0044785,0
GO:0120138,0
GO:1904850,2
GO:0050930,22
GO:0010634,157
GO:1905423,0
GO:0032812,2
GO:2000593,0
GO:2000880,0
GO:0045586,14
GO:1900679,0
GO:0045850,0
GO:1904908,2
GO:0140471,0
GO:2000073,0
GO:1902831,0
GO:1905274,165
GO:2000790,0
GO:0044496,0
GO:0034137,29
GO:1904040,0
GO:0034159,0
GO:0010965,0
GO:1905213,8
GO:0060640,0
GO:0060339,109
GO:0010874,62
GO:1902415,0
GO:0034757,16
GO:2000676,3
GO:1904326,0
GO:1905391,0
GO:0035602,0
GO:0044616,0
GO:0090295,0
GO:0030949,106
GO:1903048,0
GO:1901232,0
GO:0001993,0
GO:0003047,0
GO:0086027,14
GO:0010019,0
GO:0032658,0
GO:1905132,0
GO:0002035,6
GO:2001251,0
GO:0032205,5
GO:0099540,0
GO:0070613,53
GO:1900059,0
GO:0097190,229
GO:1902668,0
GO:1900888,0
GO:0051097,0
GO:0140711,0
GO:0090052,0
GO:0090127,0
GO:1903050,0
GO:1901463,0
GO:0048671,39
GO:1901952,0
GO:0150107,11
GO:0061183,0
GO:0033633,48
GO:2000278,22
GO:1905404,0
GO:1901080,0
GO:0042812,0
GO:0032900,11
GO:0061094,0
GO:0062031,0
GO:0090189,0
GO:0042480,0
GO:0045699,0
GO:1901646,0
GO:0000754,0
GO:1901195,0
GO:0038146,40
GO:0030335,1357
GO:0033686,4
GO:1904020,0
GO:1904305,0
GO:0002894,0
GO:1902490,0
GO:0045840,55
GO:0010999,1
GO:2000084,0
GO:0032685,0
GO:0002584,0
GO:1904237,19
GO:0070249,0
GO:0046671,1
GO:1903705,0
GO:0048012,27
GO:0045917,13
GO:0001080,0
GO:2000431,0
GO:0052372,0
GO:1900169,6
GO:2000764,0
GO:0002851,0
GO:1903376,9
GO:0006449,14
GO:0030886,5
GO:1903998,2
GO:0045344,0
GO:0075262,0
GO:0001812,5
GO:1902992,20
GO:1900736,0
GO:0030501,266
GO:0036161,0
GO:0010986,0
GO:0030511,128
GO:0061939,4
GO:1902231,25
GO:0060806,1
GO:0002802,0
GO:1901436,0
GO:0008064,28
GO:1905251,0
GO:0034444,0
GO:0031915,92
GO:0098967,46
GO:0010629,905
GO:0030500,60
GO:0032237,67
GO:0110135,7
GO:0090357,0
GO:0051336,0
GO:1903543,31
GO:0000196,0
GO:0032691,29
GO:1902366,0
GO:0071877,0
GO:1902690,0
GO:2000770,0
GO:0140255,0
GO:0003133,0
GO:0099162,0
GO:1902312,0
GO:0034306,0
GO:2000487,5
GO:0010540,0
GO:0060195,0
GO:0038171,0
GO:1905002,0
GO:0034161,1
GO:0050731,453
GO:1905416,0
GO:0070378,0
GO:0033600,6
GO:1901877,0
GO:0001508,85
GO:1902914,0
GO:0003049,0
GO:1900156,0
GO:0050812,1
GO:1901448,0
GO:0005979,78
GO:0060966,0
GO:0035399,0
GO:0062223,0
GO:0010988,23
GO:1905045,0
GO:1901524,10
GO:1902236,69
GO:0010968,54
GO:0044497,0
GO:0075030,0
GO:1902663,0
GO:1901221,0
GO:1900452,57
GO:1903226,22
GO:0038172,24
GO:0045636,57
GO:0051154,1
GO:2000209,0
GO:1902857,107
GO:1904870,0
GO:0002763,12
GO:0098815,110
GO:0099113,0
GO:0072005,0
GO:2000501,0
GO:1901711,0
GO:0003087,0
GO:0098664,24
GO:1900058,0
GO:1904999,14
GO:0045740,85
GO:2001189,1
GO:1900317,0
GO:2001159,0
GO:0031052,0
GO:0034119,0
GO:0045609,11
GO:0045992,0
GO:0075242,0
GO:2001260,0
GO:1904933,0
GO:1904654,0
GO:1901901,0
GO:1902336,0
GO:1900702,0
GO:0071663,40
GO:0043409,277
GO:1903637,0
GO:2000058,11
GO:0090084,24
GO:0098903,5
GO:1900708,0
GO:0043013,0
GO:0120069,0
GO:0032729,271
GO:0046012,0
GO:0038110,17
GO:0032692,13
GO:2001005,0
GO:1903977,0
GO:0060050,23
GO:1901402,0
GO:0006977,13
GO:0140958,1
GO:0090368,0
GO:2000259,0
GO:2000760,0
GO:0050687,39
GO:1904661,0
GO:1900642,0
GO:0070948,0
GO:1902204,3
GO:0032752,0
GO:0000512,0
GO:0050946,0
GO:1902326,0
GO:0045906,126
GO:0050878,52
GO:1903249,19
GO:0070106,15
GO:1904699,3
GO:0061188,0
GO:0150054,13
GO:0002580,0
GO:0036490,0
GO:0030861,0
GO:2000043,0
GO:0010881,105
GO:1905673,23
GO:1900297,0
GO:0045428,19
GO:0032240,0
GO:0042661,0
GO:1904444,0
GO:0090034,0
GO:1904035,2
GO:1903578,0
GO:0010766,134
GO:0035722,54
GO:0051004,0
GO:0007192,1
GO:0070623,0
GO:1904182,4
GO:0014811,0
GO:2000310,52
GO:2000799,0
GO:0042464,0
GO:0031583,0
GO:0050772,173
GO:0045818,6
GO:1990983,0
GO:2000971,0
GO:0050768,138
GO:2000851,0
GO:1901968,0
GO:0106057,0
GO:0035303,5
GO:0052321,0
GO:0031413,0
GO:1900640,0
GO:0046326,157
GO:1900273,244
GO:2000440,0
GO:0035078,0
GO:0045782,0
GO:0001819,150
GO:1903327,0
GO:0036497,0
GO:1905667,3
GO:0033143,0
GO:0007198,11
GO:1902070,0
GO:0140467,14
GO:0002909,0
GO:0140500,0
GO:0045912,0
GO:0042481,7
GO:1903139,0
GO:0002543,0
GO:1900516,0
GO:1903730,0
GO:1900924,0
GO:0090267,24
GO:0043524,640
GO:1903869,0
GO:0070120,23
GO:1904547,0
GO:0002791,0
GO:0061316,0
GO:0060506,0
GO:0031031,0
GO:0060732,62
GO:2000875,0
GO:1901405,0
GO:1903518,15
GO:0010075,0
GO:0002253,0
GO:1903267,0
GO:0017015,82
GO:0060147,20
GO:0061925,0
GO:0110162,0
GO:2000563,17
GO:1904023,0
GO:1901384,0
GO:0031646,0
GO:2000957,0
GO:1905524,0
GO:1900961,0
GO:1905046,0
GO:1903348,39
GO:1901307,0
GO:0010372,0
GO:0060545,4
GO:0002685,28
GO:2001074,0
GO:0051098,0
GO:0032024,384
GO:0038190,3
GO:0048693,0
GO:0050678,106
GO:0051823,26
GO:0045304,0
GO:1900482,0
GO:1905607,0
GO:0060754,30
GO:0044149,0
