GO Term,Number of Entries
GO:0044066,0
GO:0141088,0
GO:0141160,0
GO:0141070,0
GO:0051819,0
GO:0044487,0
GO:0052025,0
GO:0052519,0
GO:0042832,50
GO:0050832,24
GO:0052562,0
GO:0044003,0
GO:0141059,0
GO:0075133,0
GO:0098542,51
GO:0043923,64
GO:0044870,0
GO:0098586,161
GO:0070959,0
GO:0030682,3
GO:0044733,0
GO:0033660,0
GO:0052373,2
GO:0052003,0
GO:0039671,0
GO:0141018,0
GO:0141043,0
GO:0141073,0
GO:0050829,162
GO:0001867,4
GO:0009271,0
GO:0052200,0
GO:0046814,4
GO:0141132,0
GO:0002239,0
GO:0070965,1
GO:0140374,196
GO:0140884,0
GO:0009625,0
GO:0035006,0
GO:0141139,0
GO:0009626,0
GO:0075070,0
GO:0051844,0
GO:0034054,0
GO:0019057,0
GO:0141127,0
GO:0046718,240
GO:0044498,0
GO:0039514,0
GO:0009602,0
GO:0039675,0
GO:0039640,0
GO:0140883,0
GO:0044495,0
GO:0070958,0
GO:0141024,0
GO:0044476,0
GO:0044002,0
GO:0044068,0
GO:0044536,0
GO:0039595,0
GO:0070950,0
GO:0044001,0
GO:0052170,0
GO:0042381,0
GO:0039519,0
GO:0085034,0
GO:0035919,0
GO:0044871,0
GO:0085001,0
GO:0085016,0
GO:0044793,14
GO:0051850,0
GO:0002370,0
GO:0044082,0
GO:0141027,0
GO:0044521,0
GO:0075002,0
GO:0044509,0
GO:0039580,0
GO:0009861,0
GO:0039523,0
GO:0052001,0
GO:0044474,0
GO:0140423,0
GO:0039579,0
GO:0141140,0
GO:0006957,60
GO:0035895,0
GO:0141071,0
GO:0141041,0
GO:0140717,0
GO:0098931,0
GO:0070947,0
GO:0075138,0
GO:0052091,0
GO:0039645,0
GO:0039574,0
GO:0106136,0
GO:0140649,0
GO:0099045,0
GO:0045087,1469
GO:0075210,0
GO:0141066,0
GO:0044794,52
GO:0141134,0
GO:0044179,0
GO:0099008,0
GO:0141023,0
GO:0044489,0
GO:0070360,0
GO:0060141,0
GO:0075039,0
GO:0052158,0
GO:0052029,0
GO:0085044,0
GO:1903652,0
GO:0039657,0
GO:0141060,0
GO:0043152,0
GO:0009610,0
GO:0044475,0
GO:0044362,0
GO:0002423,0
GO:0044500,0
GO:0052005,0
GO:0141079,0
GO:0080185,0
GO:0141177,0
GO:0141178,0
GO:0044494,0
GO:0019062,0
GO:0035916,0
GO:0097615,0
GO:1990217,0
GO:0039722,0
GO:0044491,0
GO:0044562,0
GO:0044551,0
GO:0051702,25
GO:0085030,0
GO:0052040,0
GO:0140384,0
GO:0052078,0
GO:0044414,0
GO:0052067,0
GO:0009603,0
GO:0034055,0
GO:0070952,0
GO:0052085,0
GO:0044544,0
GO:0039666,0
GO:0039524,0
GO:0044468,0
GO:0044650,0
GO:0052041,0
GO:0039576,0
GO:0039548,0
GO:0039564,0
GO:0141157,0
GO:0044496,0
GO:0035011,0
GO:0061844,126
GO:0034053,0
GO:0009597,19
GO:0046754,0
GO:0044278,10
GO:0141116,0
GO:0044477,0
GO:0019087,0
GO:0046740,0
GO:0002243,0
GO:0039522,0
GO:0052009,0
GO:0098673,0
GO:0039674,0
GO:0044480,0
GO:0044829,4
GO:0044515,0
GO:0052034,0
GO:0075071,0
GO:0039673,0
GO:0141142,0
GO:0001907,0
GO:0052036,0
GO:0044734,0
GO:0009620,0
GO:0140133,0
GO:0052156,0
GO:0141158,0
GO:0075528,0
GO:0044503,0
GO:0035918,0
GO:0140267,0
GO:0044083,0
GO:0052151,0
GO:0052460,0
GO:0052096,0
GO:0140548,0
GO:0044365,0
GO:0044507,0
GO:0141029,0
GO:0052472,20
GO:0035891,0
GO:0044506,0
GO:0051873,3
GO:0039656,0
GO:0044762,0
GO:0141146,0
GO:0085015,0
GO:0075328,0
GO:0098996,0
GO:0075137,0
GO:0052154,0
GO:0035915,0
GO:0044511,0
GO:0044513,0
GO:0044867,0
GO:0044499,0
GO:0035807,0
GO:0044505,0
GO:0099141,0
GO:0033658,0
GO:0039588,0
GO:0044358,0
GO:0030581,0
GO:0098670,0
GO:0035806,0
GO:0016045,64
GO:0098865,0
GO:0044479,0
GO:0046784,41
GO:0141082,0
GO:0033635,0
GO:0085033,0
GO:0044552,0
GO:0044694,0
GO:0141030,0
GO:0141083,0
GO:0002241,0
GO:0070955,0
GO:0019836,0
GO:0044761,0
GO:0052112,0
GO:0140885,0
GO:0044522,0
GO:0019732,31
GO:0044660,0
GO:0052080,0
GO:0002227,32
GO:0039525,0
GO:0070953,0
GO:0141203,0
GO:0044760,0
GO:0044114,0
GO:0070951,0
GO:0070961,0
GO:0044520,0
GO:0044486,0
GO:0001879,0
GO:0044652,0
GO:0141061,0
GO:0099018,0
GO:0044735,0
GO:0075139,0
GO:0036522,0
GO:0044406,27
GO:0044071,0
GO:0044617,0
GO:0046753,0
GO:0075001,0
GO:0075111,0
GO:0039562,0
GO:0035896,0
GO:0080027,0
GO:0019049,2
GO:1990216,0
GO:0080034,0
GO:0090680,0
GO:0097616,0
GO:0042267,55
GO:0061760,17
GO:0141141,0
GO:0044742,0
GO:0039672,0
GO:0035635,0
GO:0140975,0
GO:0046802,0
GO:0044053,0
GO:0052111,0
GO:0052042,0
GO:0075035,0
GO:0044619,0
GO:0002211,0
GO:0044418,0
GO:0099046,0
GO:0051607,571
GO:0052572,0
GO:0075118,0
GO:0085019,0
GO:0075342,0
GO:0140403,0
GO:0090644,0
GO:0075025,0
GO:0039636,0
GO:0020013,0
GO:0039634,0
GO:0044359,0
GO:0044514,0
GO:0044864,0
GO:0044523,0
GO:0044360,0
GO:0042742,361
GO:0052162,0
GO:0001563,0
GO:0140533,0
GO:0044482,0
GO:0141213,0
GO:0052038,0
GO:0140754,43
GO:0098543,0
GO:0009600,0
GO:0044651,0
GO:0046775,0
GO:0052093,0
GO:0019060,0
GO:0070956,0
GO:0044740,0
GO:0085014,0
GO:0075196,0
GO:0044559,0
GO:0044510,0
GO:0044533,0
GO:0044532,0
GO:0044542,0
GO:0019731,109
GO:0044409,0
GO:0044739,0
GO:0052159,0
GO:0050831,0
GO:0052092,0
GO:0006948,0
GO:0044077,0
GO:0044069,0
GO:0044484,0
GO:0051673,0
GO:0052027,0
0044419,0
GO:0120310,0
GO:0141080,0
GO:0035756,0
GO:0044075,0
GO:0044471,0
GO:0044737,0
GO:0036521,0
GO:0039637,0
GO:0141017,0
GO:0052094,0
GO:0044827,0
GO:0044833,0
GO:0002242,0
GO:0033656,0
GO:0052031,0
GO:0044417,0
GO:0044519,0
GO:0052164,0
GO:0106259,0
GO:0052165,0
GO:0052168,0
GO:0039635,0
GO:0035920,0
GO:0141115,0
GO:1990969,0
GO:0039593,0
GO:0070945,0
GO:0044399,0
GO:0141104,0
GO:0044512,0
GO:0001878,18
GO:0075135,0
GO:0044363,0
GO:0052089,0
GO:0141034,0
GO:0039540,0
GO:0141081,0
GO:0046761,3
GO:0044483,0
GO:0002231,0
GO:0141028,0
GO:0141173,0
GO:0044555,0
GO:0075000,0
GO:0141031,0
GO:0052081,0
GO:0120324,0
GO:0035917,0
GO:0044470,0
GO:0141135,0
GO:0141154,0
GO:0141062,0
GO:0035821,7
GO:0141144,0
GO:0039604,0
GO:0044472,0
GO:0035893,0
GO:0044355,0
GO:0009615,223
GO:0039501,0
GO:0044080,0
GO:0042000,0
GO:0039646,0
GO:0051712,2
GO:0044828,34
GO:0052088,0
GO:0098002,0
GO:0052028,0
GO:0009604,0
GO:0039560,0
GO:0141025,0
GO:0009689,0
GO:0043921,2
GO:0044563,0
GO:0044488,0
GO:0039557,0
GO:0098001,0
GO:0052173,0
GO:0140418,0
GO:0141174,0
GO:0044497,0
GO:0052098,0
GO:0039723,0
GO:0042783,0
GO:0044847,0
GO:0044738,0
GO:0051838,17
GO:0039648,0
GO:0044788,65
GO:0009601,0
GO:0020035,0
GO:0039520,0
GO:0141171,0
GO:0039724,0
GO:0039638,0
GO:1990215,0
GO:0036377,0
GO:0051711,0
GO:0039554,0
GO:0039527,0
GO:0070963,1
GO:0002420,0
GO:0099048,0
GO:0002228,0
GO:0044556,0
GO:0140321,0
GO:0002212,0
GO:0051715,2
GO:0141145,0
GO:0140590,0
GO:0070962,0
GO:0044473,0
GO:0052553,0
GO:0009609,10
GO:0052032,0
GO:0098676,0
GO:0009608,0
GO:0044863,0
GO:0046774,0
GO:0044758,0
GO:0141032,0
GO:0002229,0
GO:0035894,0
GO:0044561,0
GO:0039504,0
GO:0099006,0
GO:0044560,0
GO:0140459,19
GO:0070964,0
GO:0046776,0
GO:0039563,0
GO:0009627,0
GO:0033661,0
GO:0085017,0
GO:0141033,0
GO:0052422,0
GO:0052084,0
GO:0044361,0
GO:0098994,0
GO:0044618,0
