GO Term,Number of Entries
GO:0045200,6
GO:0034154,19
GO:0070468,0
GO:0019455,0
GO:0042953,108
GO:0045341,0
GO:1900876,0
GO:0038066,59
GO:1900682,0
GO:0032294,0
GO:1905093,0
GO:0046381,1
GO:0009585,1
GO:0002753,100
GO:0072584,12
GO:0006677,2
GO:0140623,0
GO:0002419,8
GO:0010134,0
GO:0007252,0
GO:0019491,0
GO:0034551,10
GO:0097385,0
GO:0043490,32
GO:0036162,0
GO:0097531,11
GO:0006536,39
GO:0009083,51
GO:0031098,71
GO:0070630,0
GO:0007394,0
GO:0007009,204
GO:1903830,40
GO:0061856,0
GO:0034461,0
GO:0038202,49
GO:1903184,0
GO:0150021,0
GO:0002516,0
GO:0003249,0
GO:0106297,0
GO:0010189,1
GO:0002183,54
GO:0052710,0
GO:0003369,0
GO:0033481,0
GO:1900800,0
GO:0051260,493
GO:0072631,0
GO:0071243,3
GO:0015789,1
GO:0046947,4
GO:0070586,0
GO:0002503,11
GO:0021973,0
GO:0140141,3
GO:0072356,0
GO:0060684,8
GO:0006277,0
GO:0034080,65
GO:0099049,22
GO:0160030,0
GO:1901653,57
GO:1902407,0
GO:1905308,0
GO:0060690,4
GO:0033209,161
GO:0006623,81
GO:1905004,0
GO:0019484,0
GO:0061341,0
GO:0009852,0
GO:0036395,0
GO:0035791,9
GO:0072399,0
GO:0060683,0
GO:0046368,2
GO:0019586,0
GO:0009662,0
GO:0098742,150
GO:0033495,0
GO:0019652,0
GO:0021521,0
GO:0071853,0
GO:0019878,7
GO:0043312,22
GO:0071219,11
GO:0009064,0
GO:0044593,0
GO:0110010,55
GO:0061159,34
GO:0038137,0
GO:0060518,0
GO:0150022,0
GO:0048759,0
GO:0002300,0
GO:0072144,35
GO:0070676,1
GO:1990949,0
GO:0048533,0
GO:1903811,5
GO:0010585,5
GO:0051684,30
GO:0036089,21
GO:0046433,0
GO:0080024,0
GO:0043622,10
GO:1900881,0
GO:0002369,0
GO:0001402,0
GO:0007207,153
GO:0036101,48
GO:0046376,0
GO:0038192,10
GO:0022016,0
GO:1902382,0
GO:0070831,32
GO:0007065,16
GO:0000056,2
GO:1990009,11
GO:0072110,0
GO:1901910,0
GO:0007305,0
GO:0007034,17
GO:0050852,403
GO:0015941,0
GO:0071973,0
GO:0036115,1
GO:0002030,0
GO:0006276,0
GO:0030253,0
GO:0022618,10
GO:0140569,6
GO:0060563,17
GO:0005977,233
GO:0048011,45
GO:0072402,0
GO:0046003,0
GO:0060183,0
GO:0080064,0
GO:0021805,0
GO:1901819,0
GO:1903714,0
GO:0006361,23
GO:0007425,0
GO:0061536,0
GO:0070585,47
GO:0009903,0
GO:0003276,0
GO:0051228,7
GO:0009559,0
GO:0000162,0
GO:0071764,0
GO:0034625,14
GO:0045161,80
GO:0002548,48
GO:0019240,1
GO:0061245,0
GO:0072147,0
GO:1904447,20
GO:0014031,36
GO:0060608,0
GO:0072715,0
GO:0000433,0
GO:0033687,14
GO:0044806,16
GO:0060333,31
GO:0003296,0
GO:0015904,0
GO:1900576,0
GO:0098968,5
GO:0036114,22
GO:0005980,71
GO:0042206,0
GO:1903413,8
GO:0062191,0
GO:0009759,0
GO:0043297,71
GO:0046710,38
GO:0045037,0
GO:0033385,0
GO:0060837,22
GO:0052646,0
GO:0018903,0
GO:1904107,0
GO:0009829,0
GO:0061780,3
GO:0019263,0
GO:0061644,1
GO:0033260,0
GO:0006753,2
GO:0035984,1
GO:0006163,76
GO:1990548,0
GO:0099074,17
GO:1901795,0
GO:0071248,3
GO:1903193,0
GO:0090495,0
GO:0044566,0
GO:0051641,346
GO:0002368,0
GO:0019344,11
GO:0052696,0
GO:0097551,0
GO:0032509,19
GO:0007403,11
GO:0071290,0
GO:0043705,0
GO:0007212,62
GO:0071230,233
GO:0046167,17
GO:1902760,0
GO:0090388,0
GO:0046450,0
GO:1904824,0
GO:0006611,161
GO:0009250,0
GO:0070942,0
GO:0072682,0
GO:0009657,0
GO:0034195,0
GO:1901245,0
GO:1902246,0
GO:0033541,0
GO:0071577,116
GO:1901823,0
GO:0046397,0
GO:1901788,0
GO:0032624,0
GO:0006120,31
GO:0010623,2
GO:0035744,0
GO:1990789,0
GO:0055047,0
GO:0072159,0
GO:0071390,0
GO:0019985,48
GO:0032762,0
GO:0003337,3
GO:1904823,23
GO:0061254,0
GO:0016557,0
GO:0051659,0
GO:0009765,0
GO:0009745,0
GO:0070662,25
GO:0030263,25
GO:0042374,0
GO:0099590,49
GO:0033327,19
GO:0007495,0
GO:0031959,6
GO:0120268,0
GO:0051923,31
GO:0009208,0
GO:0051231,1
GO:0071785,0
GO:0006930,14
GO:0006385,0
GO:0039690,0
GO:0032532,16
GO:0035644,16
GO:0060816,52
GO:0060010,3
GO:0051298,84
GO:0009423,0
GO:0044272,9
GO:0044399,0
GO:0044273,0
GO:0019991,0
GO:0006183,65
GO:0061763,1
GO:0021893,0
GO:0046341,2
GO:0060781,0
GO:0033606,0
GO:1990114,0
GO:0061938,0
GO:0110069,0
GO:0035026,14
GO:0051334,0
GO:0061252,0
GO:0061515,2
GO:0140060,0
GO:0072660,11
GO:0006565,34
GO:0035185,0
GO:0097688,0
GO:0006793,0
GO:0019252,0
GO:0033482,0
GO:0032626,0
GO:0061351,168
GO:0072745,0
GO:0001769,0
GO:0071727,0
GO:0019666,0
GO:0009685,0
GO:0031022,149
GO:1904962,0
GO:0010657,7
GO:0072479,0
GO:0031468,14
GO:0007414,0
GO:0014046,12
GO:0009156,0
GO:0070198,12
GO:0000082,159
GO:1901865,0
GO:0010780,0
GO:1901746,0
GO:0044337,0
GO:0016482,4
GO:0031929,134
GO:0140730,0
GO:0007234,0
GO:1900811,0
GO:0072497,0
GO:0071550,8
GO:1902348,0
GO:0051764,60
GO:0006123,13
GO:1901940,0
GO:0009137,0
GO:0099552,0
GO:0034394,180
GO:1904557,0
GO:0010264,0
GO:0061109,0
GO:0061443,0
GO:0060505,0
GO:0099586,0
GO:0071471,0
GO:0043652,113
GO:0050667,65
GO:0019280,0
GO:0042194,0
GO:0061523,23
GO:0045456,0
GO:1904518,5
GO:0140528,0
GO:0048292,0
GO:0006415,19
GO:0061516,0
GO:0097474,0
GO:0097355,1
GO:0120312,0
GO:0072112,24
GO:0072246,0
GO:0033543,0
GO:0110140,0
GO:0010138,0
GO:1990852,0
GO:0035445,0
GO:0030723,0
GO:0007217,2
GO:0010352,0
GO:0022417,10
GO:0021863,0
GO:0061794,0
GO:1901086,16
GO:0072759,0
GO:0019287,8
GO:1901854,0
GO:0046511,3
GO:0072209,0
GO:0099517,0
GO:0070982,0
GO:0006708,0
GO:0099548,0
GO:0035079,0
GO:0019485,0
GO:0035740,0
GO:1900874,0
GO:0071514,40
GO:0014714,0
GO:0140709,0
GO:0072677,4
GO:0061729,0
GO:1990046,0
GO:1990127,0
GO:0098506,0
GO:0097062,73
GO:0071786,15
GO:0046438,0
GO:0007415,0
GO:0071393,88
GO:1904551,0
GO:0048891,0
GO:0051012,21
GO:0032286,9
GO:0140114,0
GO:0090168,45
GO:0140915,28
GO:0006880,4
GO:0030866,112
GO:0002272,0
GO:1903213,0
GO:0160127,0
GO:0001080,0
GO:1901866,0
GO:0014716,0
GO:1904902,0
GO:0051792,23
GO:0015961,0
GO:0046517,0
GO:1901110,0
GO:0000713,0
GO:1904148,0
GO:0033468,0
GO:0072627,0
GO:0001711,26
GO:0038136,0
GO:0001765,32
GO:0003362,0
GO:0021710,0
GO:1904652,0
GO:0018978,0
GO:0035433,0
GO:0042256,12
GO:0060988,4
GO:0072203,0
GO:0043182,0
GO:0042821,0
GO:0002063,48
GO:0031547,20
GO:0015962,0
GO:0034330,0
GO:0030258,17
GO:0055014,0
GO:0022620,0
GO:0009097,17
GO:0019555,0
GO:0051664,8
GO:0016143,0
GO:0060722,4
GO:0010111,0
GO:0061670,0
GO:0045047,13
GO:0035858,0
GO:0006978,26
GO:0098886,17
GO:0007409,796
GO:1901821,0
GO:1990349,3
GO:2001309,0
GO:0009132,0
GO:0061541,0
GO:1903192,0
GO:0009062,53
GO:0060644,40
GO:0009557,0
GO:0009181,20
GO:0019337,0
GO:0070690,0
GO:0033517,0
GO:0010027,0
GO:0019362,0
GO:0000028,25
GO:0006689,17
GO:0019283,0
GO:0035773,93
GO:0032482,14
GO:1990559,1
GO:0019374,0
GO:0150008,0
GO:0046704,0
GO:0000271,51
GO:0097390,0
GO:0046701,0
GO:0035788,7
GO:0033366,1
GO:0140028,0
GO:0097279,3
GO:0002275,0
GO:0061142,0
GO:0042672,0
GO:0009291,0
GO:0097238,0
GO:0044770,18
GO:0016107,0
GO:0014029,51
GO:0018928,0
GO:0046513,113
GO:0000432,22
GO:0021933,0
GO:0097173,0
GO:0140896,0
GO:0030437,0
GO:0060218,44
GO:0046417,0
GO:0061534,11
GO:0021955,50
GO:1901811,0
GO:0022009,3
GO:0060285,49
GO:0033388,0
GO:0009135,0
GO:0061910,4
GO:0006909,281
GO:0018945,0
GO:0007080,64
GO:0035695,0
GO:0010234,0
GO:0070596,0
GO:0015699,0
GO:0019411,0
GO:0043611,0
GO:0019090,0
GO:0031161,35
GO:0019646,9
GO:1990166,52
GO:0060404,2
GO:0001539,0
GO:0089709,0
GO:0042316,0
GO:1902709,0
GO:0018890,0
GO:0099638,43
GO:0021946,0
GO:0000920,0
GO:0002332,0
GO:0033528,0
GO:0098887,51
GO:0030497,47
GO:0043094,0
GO:0042396,0
GO:0006997,115
GO:0035704,0
GO:0086065,21
GO:0090604,0
GO:0070727,0
GO:0009876,0
GO:0097035,25
GO:0048343,9
GO:0071465,0
GO:0002338,0
GO:0043354,0
GO:0034491,0
GO:0086026,0
GO:0061203,0
GO:0021708,0
GO:1902558,0
GO:0034372,11
GO:1903863,0
GO:0035721,121
GO:0060894,0
GO:0016559,46
GO:0006747,2
GO:0046068,16
GO:0090650,21
GO:1903009,0
GO:0046251,0
GO:0016054,0
GO:0009994,31
GO:0071392,125
GO:0072444,0
GO:0072665,0
GO:0006638,40
GO:0061833,28
GO:0036179,3
GO:0035863,0
GO:0071562,0
GO:0021861,22
GO:0019289,0
GO:0036292,28
GO:0061537,0
GO:0019667,0
GO:0090407,0
GO:0002552,24
GO:0072143,0
GO:0099641,135
GO:0001773,36
GO:0038189,8
GO:0070574,49
GO:0034976,246
GO:0097089,7
GO:0060943,0
