GO Term,Number of Entries
GO:0140729,0
GO:0140977,0
GO:0046701,0
GO:0010127,0
GO:2001309,0
GO:0052316,0
GO:1990880,0
GO:0009407,0
GO:0140982,0
0098754,0
GO:0098849,13
GO:0050787,18
GO:0061691,2
GO:0061687,0
GO:0071585,0
GO:0010299,0
GO:0106045,2
GO:0071722,0
GO:0046286,0
GO:0110052,0
GO:0010312,5
GO:1990748,19
GO:0070458,0
GO:0140114,0
GO:0051410,0
GO:0042188,0
GO:0098869,182
GO:0061692,0
GO:0043387,0
GO:0110095,20
GO:0140974,0
GO:0019430,33
GO:1990461,0
GO:0140041,2
GO:0045574,0
GO:0046223,0
GO:0010273,12
GO:0140961,0
GO:0046290,0
GO:0046294,6
GO:0046225,0
GO:0046216,0
GO:0140725,0
